feature,gain_rank,gain_importance_mean,gain_importance_pct,split_importance_mean,count_flag_1,count_flag_0,coverage_pct,pit_rate_when_1,pit_rate_when_0,base_rate,diff_1_vs_0,diff_1_vs_base,lift_vs_base,is_outlier_flag
LapTime_s_roll3_min_by_driver_race,116,230.00443954467772,0.0011140164180190937,6.8,,,,,,,,,,0
Position_Change_minus_roll3_mean_by_driver_race,117,227.46740550994872,0.0011017284049122322,8.2,,,,,,,,,,0
LapTime_s_lag3_by_driver_race,118,227.12223138809205,0.0011000565691877354,9.2,,,,,,,,,,0
LapTime_s_roll5_min_by_driver_race,119,225.8934769630432,0.0010941051510067307,6.2,,,,,,,,,,0
LapTime_Delta_stint_diff_prev,120,224.2126745223999,0.0010859642580829682,8.8,,,,,,,,,,0
LapTime_Delta_lag2_by_driver_race,121,220.5063494682312,0.0010680128351929009,9.2,,,,,,,,,,0
LapTime_s_since_stint_start,122,219.62603492736815,0.0010637490703130413,7.8,,,,,,,,,,0
LapTime_Delta_minus_roll3_mean_by_driver_race,123,217.27863111495972,0.0010523795228733466,7.6,,,,,,,,,,0
clipped_LapTime_s,124,217.2029725074768,0.0010520130737253768,5.4,,,,,,,,,,0
LapTime_s_roll5_mean_by_driver_race,125,216.9296587228775,0.0010506892903935537,5.2,,,,,,,,,,0
TyreLife_roll5_min_by_driver_race,126,213.6281997680664,0.0010346988187037178,3.2,,,,,,,,,,0
Position_pct_change_lag1_by_driver_race,127,210.27539749145507,0.0010184596678859735,7.6,,,,,,,,,,0
Cumulative_Degradation_roll3_min_by_driver_race,128,207.0164616584778,0.0010026751550722447,8.6,,,,,,,,,,0
RaceProgress_pct_change_lag1_by_driver_race,129,192.72163639068603,0.0009334387956673607,6.6,,,,,,,,,,0
Position_stint_expanding_mean_prev,130,190.8202326834202,0.0009242294301813304,9.6,,,,,,,,,,0
Cumulative_Degradation_minus_roll3_mean_by_driver_race,131,186.2930492401123,0.0009023022156753272,6.0,,,,,,,,,,0
Cumulative_Degradation_lag2_by_driver_race,132,182.70253353118898,0.0008849117102711085,7.8,,,,,,,,,,0
Cumulative_Degradation_roll3_mean_by_driver_race,133,178.28509737253188,0.0008635160519262645,5.6,,,,,,,,,,0
Cumulative_Degradation_roll5_mean_by_driver_race,134,173.43541739583014,0.0008400268396011488,7.6,,,,,,,,,,0
Position_diff_lag1_by_driver_race,135,172.95558109283448,0.0008377027735067858,4.8,,,,,,,,,,0
Cumulative_Degradation_minus_roll5_mean_by_driver_race,136,167.61422491073608,0.0008118321490391674,6.6,,,,,,,,,,0
Position_roll5_mean_by_driver_race,137,164.99580240249634,0.0007991499344294654,5.8,,,,,,,,,,0
TyreLife_lag3_by_driver_race,138,164.1195502281189,0.000794905845443558,5.0,,,,,,,,,,0
Stint_Compound_frequency,139,144.85680370330812,0.0007016075772568212,2.2,,,,,,,,,,0
TyreLife_roll3_max_by_driver_race,140,144.85618106126785,0.0007016045615173997,3.4,,,,,,,,,,0
LapTime_s_lag2_by_driver_race,141,143.5420423746109,0.0006952395884091068,5.8,,,,,,,,,,0
LapTime_s_stint_start,142,142.06555128097534,0.0006880882685362158,4.8,,,,,,,,,,0
Position_stint_diff_prev,143,141.1482449531555,0.0006836453355581957,4.8,,,,,,,,,,0
TyreLife_x_LapDelta_roll3_mean,144,140.65170202255248,0.0006812403516455454,4.6,,,,,,,,,,0
TyreLife_x_LapDelta_lag1,145,139.66362417936324,0.0006764546399359247,6.2,,,,,,,,,,0
Cumulative_Degradation_stint_expanding_mean_prev,146,138.1574645757675,0.0006691596219359055,6.6,,,,,,,,,,0
LapTime_Delta_lag3_by_driver_race,147,134.01422090530394,0.0006490920028852152,6.4,,,,,,,,,,0
Cumulative_Degradation_roll5_min_by_driver_race,148,133.69359703063964,0.0006475390752065495,6.6,,,,,,,,,,0
