feature,split_importance_fold_1,gain_importance_fold_1,split_importance_fold_2,gain_importance_fold_2,split_importance_fold_3,gain_importance_fold_3,split_importance_fold_4,gain_importance_fold_4,split_importance_fold_5,gain_importance_fold_5,split_importance_mean,gain_importance_mean,gain_importance_pct,gain_rank
TyreLife_stint_expanding_mean_prev,22,604.4385423660278,6,185.39219760894775,8,317.3499994277954,9,217.74992847442627,8,205.30094194412231,10.6,306.04632196426394,0.0014823219413394012,108
Compound_RaceProgressBin_target_encoded,14,447.36699867248535,7,248.2506980895996,8,153.64814805984497,7,263.03245544433594,13,384.79633235931396,9.8,299.418926525116,0.0014502224421187283,109
Cumulative_Degradation_lag3_by_driver_race,28,535.8649034500122,10,173.75498390197754,10,304.1076216697693,12,223.61996865272522,9,213.00059986114502,13.8,290.06961550712583,0.0014049394641387112,110
LapTime_Delta_minus_roll5_mean_by_driver_race,16,449.13740253448486,8,199.88230228424072,10,379.1259078979492,1,14.74120044708252,13,337.1093940734863,9.6,275.99924144744875,0.0013367902243189055,111
Race_target_encoded,6,531.033992767334,8,501.6930818557739,1,20.457799911499023,2,280.00648975372314,3,38.16669940948486,4.0,274.271612739563,0.0013284225304229275,112
Cumulative_Degradation_pct_change_lag1_by_driver_race,26,668.2143712043762,5,124.05800247192383,6,206.29256010055542,5,174.48060035705566,5,116.28064918518066,9.4,257.86523666381834,0.0012489589672640738,113
LapTime_Delta_stint_cumsum_prev,6,154.44390201568604,6,233.9079999923706,11,300.6368017196655,14,235.26802921295166,7,282.1501007080078,8.8,241.28136672973633,0.0011686357203848678,114
Cumulative_Degradation_stint_diff_prev,7,117.77264785766602,7,175.65400505065918,10,346.50495052337646,8,261.8784942626953,7,274.8611030578613,7.8,235.33424015045165,0.0011398310735594576,115
LapTime_s_roll3_min_by_driver_race,14,433.629506111145,6,165.46069812774658,7,264.7517042160034,3,100.55430030822754,4,185.6259889602661,6.8,230.00443954467772,0.0011140164180190937,116
Position_Change_minus_roll3_mean_by_driver_race,16,354.1201295852661,10,393.5508346557617,8,208.33055973052979,5,121.40690326690674,2,59.9286003112793,8.2,227.46740550994872,0.0011017284049122322,117
